iter	Passed	Remaining
0	23	23335
1	33	16732
2	50	16888
3	54	13590
4	72	14390
5	93	15486
6	121	17260
7	160	19878
8	191	21032
9	222	22072
10	253	22747
11	279	22994
12	306	23240
13	339	23904
14	369	24287
15	400	24634
16	410	23762
17	442	24136
18	476	24609
19	508	24925
20	521	24293
21	551	24512
22	586	24914
23	626	25472
24	661	25810
25	698	26164
26	738	26595
27	774	26889
28	825	27625
29	866	28007
30	900	28156
31	935	28306
32	967	28358
33	1005	28560
34	1045	28827
35	1080	28933
36	1117	29079
37	1160	29373
38	1193	29418
39	1231	29557
40	1269	29682
41	1299	29650
42	1336	29742
43	1369	29750
44	1402	29757
45	1455	30191
46	1485	30125
47	1522	30202
48	1557	30236
49	1589	30196
50	1623	30207
51	1658	30237
52	1693	30267
53	1725	30225
54	1761	30268
55	1795	30271
56	1826	30210
57	1858	30190
58	1894	30215
59	1929	30228
60	1962	30203
61	1996	30200
62	2033	30238
63	2075	30357
64	2110	30354
65	2150	30427
66	2182	30396
67	2213	30331
68	2243	30271
69	2270	30170
70	2299	30092
71	2331	30045
72	2347	29810
73	2373	29702
74	2405	29663
75	2442	29695
76	2473	29647
77	2501	29572
78	2529	29486
79	2559	29431
80	2586	29346
81	2617	29307
82	2690	29726
83	2724	29714
84	2754	29648
85	2782	29571
86	2809	29482
87	2841	29448
88	2873	29416
89	2900	29329
90	2928	29254
91	2959	29207
92	2986	29126
93	3017	29081
94	3047	29034
95	3077	28983
96	3112	28979
97	3142	28926
98	3171	28860
99	3203	28828
100	3232	28776
101	3260	28705
102	3291	28664
103	3321	28614
104	3349	28548
105	3367	28404
106	3398	28362
107	3428	28319
108	3458	28270
109	3475	28118
110	3505	28074
111	3534	28021
112	3562	27965
113	3592	27923
114	3622	27875
115	3649	27808
116	3678	27758
117	3708	27719
118	3737	27668
119	3765	27612
120	3794	27567
121	3822	27511
122	3854	27484
123	3884	27439
124	3911	27383
125	3916	27163
126	3945	27121
127	3973	27069
128	4004	27037
129	4033	26991
130	4060	26936
131	4091	26906
132	4122	26871
133	4149	26819
134	4179	26779
135	4209	26742
136	4238	26697
137	4268	26662
138	4297	26620
139	4327	26582
140	4358	26552
141	4387	26512
142	4420	26494
143	4449	26451
144	4479	26415
145	4507	26365
146	4540	26345
147	4570	26311
148	4598	26261
149	4625	26212
150	4656	26181
151	4686	26145
152	4714	26097
153	4744	26061
154	4774	26026
155	4800	25970
156	4805	25803
157	4835	25768
158	4864	25729
159	4891	25679
160	4921	25649
161	4951	25612
162	4980	25572
163	5007	25528
164	5039	25504
165	5068	25463
166	5096	25418
167	5123	25375
168	5133	25243
169	5161	25200
170	5189	25160
171	5220	25129
172	5254	25116
173	5280	25068
174	5309	25030
175	5337	24987
176	5369	24965
177	5398	24931
178	5430	24907
179	5459	24870
180	5490	24842
181	5520	24814
182	5547	24767
183	5578	24737
184	5608	24709
185	5638	24675
186	5648	24557
187	5679	24530
188	5705	24482
189	5734	24448
190	5766	24422
191	5797	24399
192	5826	24361
193	5854	24323
194	5882	24285
195	5910	24246
196	5942	24222
197	5974	24198
198	6002	24162
199	6033	24133
200	6059	24087
201	6094	24074
202	6123	24041
203	6151	24003
204	6178	23959
205	6210	23937
206	6241	23911
207	6269	23872
208	6299	23840
209	6326	23801
210	6357	23773
211	6389	23748
212	6415	23704
213	6445	23675
214	6476	23647
215	6506	23616
216	6537	23587
217	6566	23554
218	6596	23524
219	6626	23494
220	6654	23455
221	6684	23425
222	6713	23390
223	6739	23348
224	6771	23325
225	6799	23287
226	6828	23251
227	6857	23220
228	6884	23178
229	6914	23149
230	6943	23115
231	6973	23084
232	7001	23046
233	7034	23028
234	7061	22987
235	7091	22956
236	7120	22925
237	7148	22887
238	7178	22856
239	7208	22825
240	7236	22789
241	7267	22763
242	7295	22728
243	7323	22689
244	7353	22660
245	7370	22589
246	7398	22554
247	7425	22516
248	7459	22498
249	7489	22467
250	7517	22432
251	7547	22402
252	7577	22373
253	7605	22337
254	7634	22304
255	7665	22278
256	7693	22243
257	7721	22207
258	7750	22174
259	7780	22145
260	7811	22116
261	7838	22079
262	7866	22044
263	7896	22015
264	7925	21983
265	7953	21948
266	7985	21921
267	8015	21891
268	8045	21864
269	8072	21825
270	8100	21791
271	8130	21761
272	8160	21731
273	8188	21696
274	8195	21606
275	8225	21576
276	8254	21545
277	8282	21510
278	8312	21482
279	8339	21443
280	8368	21413
281	8400	21388
282	8429	21356
283	8459	21327
284	8491	21303
285	8509	21244
286	8537	21210
287	8569	21186
288	8603	21165
289	8632	21134
290	8667	21117
291	8697	21088
292	8727	21058
293	8757	21030
294	8787	20999
295	8816	20968
296	8845	20936
297	8872	20901
298	8905	20879
299	8934	20847
300	8963	20816
301	8992	20783
302	9022	20754
303	9057	20736
304	9084	20701
305	9111	20664
306	9117	20580
307	9146	20549
308	9176	20521
309	9206	20492
310	9236	20463
311	9265	20430
312	9293	20397
313	9320	20363
314	9352	20338
315	9385	20314
316	9416	20288
317	9449	20264
318	9476	20230
319	9505	20198
320	9532	20163
321	9562	20133
322	9591	20103
323	9621	20074
324	9650	20044
325	9679	20011
326	9708	19981
327	9739	19954
328	9767	19921
329	9798	19893
330	9827	19861
331	9857	19833
332	9885	19799
333	9915	19770
334	9942	19736
335	9973	19709
336	10004	19681
337	10035	19654
338	10064	19623
339	10092	19590
340	10123	19564
341	10149	19527
342	10180	19500
343	10212	19475
344	10242	19445
345	10273	19417
