iter	Passed	Remaining
0	88	88646
1	108	54263
2	129	43064
3	149	37179
4	180	35963
5	215	35686
6	254	36127
7	282	35084
8	297	32787
9	326	32299
10	359	32279
11	388	32009
12	419	31845
13	450	31711
14	480	31561
15	509	31358
16	589	34098
17	632	34510
18	672	34718
19	709	34768
20	729	34023
21	760	33823
22	790	33563
23	822	33441
24	889	34706
25	931	34881
26	971	35025
27	1034	35915
28	1093	36605
29	1103	35694
30	1143	35728
31	1178	35638
32	1208	35425
33	1244	35357
34	1274	35143
35	1319	35321
36	1352	35191
37	1382	34989
38	1442	35540
39	1490	35768
40	1528	35752
41	1564	35676
42	1605	35733
43	1647	35794
44	1678	35621
45	1704	35345
46	1731	35099
47	1762	34954
48	1789	34725
49	1815	34502
50	1841	34269
51	1849	33712
52	1874	33487
53	1898	33258
54	1902	32696
55	1929	32533
56	1943	32156
57	1970	32000
58	2000	31912
59	2029	31800
60	2055	31634
61	2079	31459
62	2106	31323
63	2132	31188
64	2173	31260
65	2210	31276
66	2242	31229
67	2274	31177
68	2301	31049
69	2327	30922
70	2358	30858
71	2391	30824
72	2424	30783
73	2464	30844
74	2497	30807
75	2529	30752
76	2555	30630
77	2591	30636
78	2622	30571
79	2654	30531
80	2685	30466
81	2712	30367
82	2739	30271
83	2766	30172
84	2791	30052
85	2818	29953
86	2854	29954
87	2859	29637
88	2889	29575
89	2915	29481
90	2947	29444
91	2976	29372
92	3007	29335
93	3036	29265
94	3068	29235
95	3096	29162
96	3127	29117
97	3156	29057
98	3188	29022
99	3219	28975
100	3253	28958
101	3287	28947
102	3335	29044
103	3373	29064
104	3413	29094
105	3445	29056
106	3493	29154
107	3521	29085
108	3553	29043
109	3581	28979
110	3618	28977
111	3653	28970
112	3691	28976
113	3731	28997
114	3762	28956
115	3792	28904
116	3819	28827
117	3858	28841
118	3885	28767
119	3912	28692
120	3938	28608
121	3968	28559
122	3997	28504
123	4029	28465
124	4057	28405
125	4090	28372
126	4124	28355
127	4168	28399
128	4203	28381
129	4239	28370
130	4270	28328
131	4300	28280
132	4328	28213
133	4357	28162
134	4391	28140
135	4420	28083
136	4455	28068
137	4484	28012
138	4515	27968
139	4543	27908
140	4570	27845
141	4598	27783
142	4636	27785
143	4672	27773
144	4714	27801
145	4746	27764
146	4780	27741
147	4807	27677
148	4833	27606
149	4858	27528
150	4883	27455
151	4908	27382
152	4936	27329
153	4964	27275
154	4989	27199
155	5021	27165
156	5051	27123
157	5083	27089
158	5113	27047
159	5143	27002
160	5171	26948
161	5207	26935
162	5243	26926
163	5272	26877
164	5301	26830
165	5336	26810
166	5365	26762
167	5395	26720
168	5427	26685
169	5455	26635
170	5481	26574
171	5504	26497
172	5534	26455
173	5540	26300
174	5564	26233
175	5589	26167
176	5624	26152
177	5651	26099
178	5679	26051
179	5703	25980
180	5759	26059
181	5795	26048
182	5833	26041
183	5862	25998
184	5887	25938
185	5912	25873
186	5938	25819
187	5967	25773
188	6001	25750
189	6038	25741
190	6076	25735
191	6104	25688
192	6130	25634
193	6158	25587
194	6187	25544
195	6217	25503
196	6244	25453
197	6269	25394
198	6278	25270
199	6306	25227
200	6331	25170
201	6358	25119
202	6390	25091
203	6428	25084
204	6465	25072
205	6475	24959
206	6508	24933
207	6538	24897
208	6544	24767
209	6560	24678
210	6585	24625
211	6610	24570
212	6643	24546
213	6683	24548
214	6719	24533
215	6752	24510
216	6798	24529
217	6830	24502
218	6856	24452
219	6891	24432
220	6919	24390
221	6935	24307
222	6962	24260
223	6995	24235
224	7030	24217
225	7056	24167
226	7091	24149
227	7109	24071
228	7152	24080
229	7194	24085
230	7230	24069
231	7270	24069
232	7303	24042
233	7332	24003
234	7361	23963
235	7388	23918
236	7417	23878
237	7441	23826
238	7480	23819
239	7510	23782
240	7539	23745
241	7563	23692
242	7567	23573
243	7593	23527
244	7619	23480
245	7649	23446
246	7675	23399
247	7700	23351
248	7725	23301
249	7761	23285
250	7794	23260
251	7828	23237
252	7866	23225
253	7904	23215
254	7936	23188
255	7973	23172
256	8007	23151
257	8039	23122
258	8073	23098
259	8105	23069
260	8136	23037
261	8168	23009
262	8204	22990
263	8223	22925
264	8259	22908
265	8263	22801
266	8297	22778
267	8303	22680
268	8319	22608
269	8346	22566
270	8375	22531
271	8404	22494
272	8440	22476
273	8475	22457
274	8505	22424
275	8537	22395
276	8574	22379
277	8611	22364
278	8652	22359
279	8697	22366
280	8754	22400
281	8790	22380
282	8823	22355
283	8855	22325
284	8885	22290
285	8919	22267
286	8955	22248
287	9039	22348
288	9068	22311
289	9124	22339
290	9167	22336
291	9217	22348
292	9262	22350
293	9368	22497
294	9428	22533
295	9460	22501
296	9488	22460
297	9515	22415
298	9545	22379
299	9572	22335
300	9597	22286
301	9626	22250
302	9660	22223
303	9688	22180
304	9713	22133
305	9740	22090
306	9767	22047
307	9795	22009
308	9824	21969
309	9850	21924
310	9877	21883
311	9902	21836
312	9929	21793
313	9956	21752
314	9983	21709
315	10014	21676
316	10060	21676
317	10096	21653
318	10128	21622
319	10162	21595
320	10196	21569
321	10223	21525
322	10249	21483
323	10276	21440
324	10306	21405
325	10332	21363
326	10357	21316
327	10382	21271
328	10387	21185
329	10411	21139
330	10437	21095
331	10468	21063
332	10497	21026
333	10521	20979
334	10546	20936
335	10570	20889
336	10594	20842
337	10618	20796
338	10646	20759
339	10671	20715
340	10697	20673
341	10723	20631
342	10748	20587
343	10774	20546
344	10797	20500
345	10822	20456
346	10849	20416
347	10857	20341
348	10869	20275
349	10892	20229
350	10918	20188
351	10943	20146
352	10967	20102
353	10990	20055
354	11016	20015
355	11049	19989
356	11074	19947
357	11099	19904
358	11122	19859
359	11130	19787
360	11156	19747
361	11183	19710
362	11194	19643
363	11218	19601
364	11245	19564
365	11271	19525
366	11295	19482
367	11308	19421
368	11316	19350
369	11340	19309
370	11364	19267
371	11388	19226
372	11412	19184
373	11437	19143
374	11465	19109
375	11489	19068
376	11513	19026
377	11540	18989
378	11567	18953
379	11593	18915
380	11620	18879
381	11646	18841
382	11676	18810
383	11701	18770
384	11726	18731
385	11753	18696
386	11782	18663
387	11810	18629
388	11842	18601
389	11875	18574
390	11901	18537
391	11927	18499
392	11954	18464
393	11980	18427
394	12007	18391
395	12034	18355
396	12063	18322
397	12087	18283
398	12111	18242
399	12135	18203
400	12159	18163
401	12186	18127
402	12216	18097
403	12251	18073
404	12270	18027
405	12296	17991
406	12307	17931
407	12341	17906
408	12370	17874
409	12398	17841
410	12426	17808
411	12456	17777
412	12491	17754
413	12516	17716
414	12547	17687
415	12578	17658
416	12606	17624
417	12639	17598
418	12675	17576
419	12706	17547
420	12737	17518
421	12775	17497
422	12809	17473
